Date,Open,High,Low,Close,Volume,Market Cap,Year,Month
2016-01-02,434.62,436.06,431.87,433.44,30096600.0,6533630000.0,2016,1
2016-01-03,433.58,433.74,424.71,430.01,39633800.0,6519500000.0,2016,1
2016-01-04,430.06,434.52,429.08,433.09,38477500.0,6468180000.0,2016,1
2016-01-05,433.07,434.18,429.68,431.96,34522600.0,6515380000.0,2016,1
2016-01-06,431.86,431.86,426.34,429.11,34042500.0,6498830000.0,2016,1
2016-01-07,430.01,458.77,429.08,458.05,87562200.0,6472580000.0,2016,1
2016-01-08,457.54,462.93,447.94,453.23,56993000.0,6888600000.0,2016,1
2016-01-09,453.38,454.64,446.89,447.61,32278000.0,6828000000.0,2016,1
2016-01-10,448.24,448.31,440.35,447.99,35995900.0,6752210000.0,2016,1
2016-01-11,448.7,450.66,443.86,448.43,40450000.0,6761090000.0,2016,1
2016-01-12,448.18,448.18,435.69,435.69,115607000.0,6755220000.0,2016,1
2016-01-13,434.67,435.19,424.44,432.37,173888000.0,6553350000.0,2016,1
2016-01-14,432.29,433.32,427.85,430.31,43945500.0,6519110000.0,2016,1
2016-01-15,430.25,430.25,364.33,364.33,153351000.0,6489870000.0,2016,1
2016-01-16,365.07,390.56,354.91,387.54,120352000.0,5507790000.0,2016,1
2016-01-17,387.15,390.96,380.09,382.3,45319600.0,5842270000.0,2016,1
2016-01-18,381.73,388.1,376.67,387.17,54403900.0,5761940000.0,2016,1
2016-01-19,387.03,387.73,378.97,380.15,46819800.0,5843510000.0,2016,1
2016-01-20,379.74,425.27,376.6,420.23,121720000.0,5734760000.0,2016,1
2016-01-21,419.63,422.88,406.3,410.26,68338000.0,6338800000.0,2016,1
2016-01-22,409.75,410.41,375.28,382.49,91546600.0,6190940000.0,2016,1
2016-01-23,382.43,394.54,381.98,387.49,56247400.0,5779890000.0,2016,1
2016-01-24,388.1,405.49,387.51,402.97,54824800.0,5867300000.0,2016,1
2016-01-25,402.32,402.32,388.55,391.73,59062400.0,6083900000.0,2016,1
2016-01-26,392.0,397.77,390.57,392.15,58147000.0,5929520000.0,2016,1
2016-01-27,392.44,396.84,391.78,394.97,47424400.0,5937780000.0,2016,1
2016-01-28,395.15,395.5,379.74,380.29,59247900.0,5980180000.0,2016,1
2016-01-29,380.11,384.38,365.45,379.47,86125300.0,5753970000.0,2016,1
2016-01-30,378.87,380.92,376.49,378.25,30284400.0,5736760000.0,2016,1
